shape,m,n,k,mnk,source,mode_count,modes_available,baseline_tflops,baseline_ms,best_user,best_user_tflops,best_user_ms,ratio_pct
128x128x128,128,128,128,2097152,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",0.6151719999999999,0.006926133333333334,v1,0.6824416666666666,0.006146026666666666,110.93509891000674
256x256x256,256,256,256,16777216,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",3.2722300000000004,0.010254266666666666,v6,2.729506666666667,0.012293233333333334,83.41426692703955
256x512x256,256,512,256,33554432,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.67303,0.014360900000000001,v6,5.457260000000001,0.012297166666666666,116.78204505427959
512x256x256,512,256,256,33554432,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.677993333333333,0.014345666666666666,v6,5.45925,0.012292666666666667,116.70067935111778
256x768x256,256,768,256,50331648,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",3.7895333333333334,0.0265635,v6,8.184896666666667,0.012298666666666666,215.98692890945236
768x256x256,768,256,256,50331648,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",6.150816666666667,0.016365866666666666,v6,8.189226666666666,0.012292166666666667,133.14047728079467
384x384x384,384,384,384,56623104,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",6.16901,0.0183573,v6,6.908446666666666,0.016392399999999998,111.98631006703938
512x512x256,512,512,256,67108864,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",7.2748099999999996,0.01844963333333333,v6,7.278156666666667,0.018441166666666665,100.04600349241653
512x768x256,512,768,256,100663296,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.634530000000001,0.04344990000000001,v6,10.916433333333332,0.018442566666666667,235.5456396513418
768x512x256,768,512,256,100663296,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",12.284799999999999,0.01638826666666667,v6,10.913033333333333,0.018448266666666668,88.83362637839716
512x896x256,512,896,256,117440512,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",4.559266666666667,0.051521199999999996,v6,8.822470000000001,0.026623033333333334,193.50633873868605
896x512x256,896,512,256,117440512,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",8.924570000000001,0.02631876666666667,v6,8.820333333333332,0.026629466666666667,98.83202589405799
512x512x512,512,512,512,134217728,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",10.077433333333333,0.026637300000000003,v6,8.18615,0.0327914,81.23248975433559
768x768x384,768,768,384,226492416,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.26106,0.08610146666666667,v6,12.282233333333332,0.03688126666666667,233.4554886911256
640x640x640,640,640,640,262144000,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.446360000000001,0.0962639,v6,8.917926666666666,0.0587906,163.74104294733849
768x896x384,768,896,384,264241152,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.328250000000001,0.09918496666666667,v7,11.728333333333333,0.04506026666666666,220.11604810835323
896x768x384,896,768,384,264241152,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.343430000000001,0.09890336666666666,v7,11.728333333333333,0.045060333333333334,219.49072661817092
512x896x768,512,896,768,352321536,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.6370000000000005,0.12500333333333333,v6,10.228566666666667,0.0688899,181.45408314115073
896x512x768,896,512,768,352321536,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",9.389573333333333,0.07504553333333333,v6,10.133133333333333,0.06953846666666667,107.91899667432529
896x896x512,896,896,512,411041792,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.353149999999999,0.15357,v6,10.8484,0.0757792,202.6545118294836
768x768x768,768,768,768,452984832,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",5.60587,0.16161066666666665,v6,13.341500000000002,0.06790616666666667,237.99160522809126
896x896x896,896,896,896,719323136,under1024,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",13.442766666666666,0.10702033333333334,v6,11.183433333333333,0.12864133333333336,83.1929439128354
1024x1024x1024,1024,1024,1024,1073741824,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",16.367433333333334,0.13120466666666666,v6,12.354766666666668,0.17381866666666665,75.4838368060152
1152x1152x1152,1152,1152,1152,1528823808,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",16.404066666666665,0.18639566666666665,v6,13.568866666666667,0.225343,82.71648087262916
1536x1536x1536,1536,1536,1536,3623878656,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",19.229633333333336,0.37690566666666664,v8,15.184800000000001,0.47730266666666665,78.96562423620487
1536x2304x1536,1536,2304,1536,5435817984,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",19.1938,0.566414,v8,14.506966666666665,0.7494073333333334,75.58152458953758
2048x2048x2048,2048,2048,2048,8589934592,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",21.413233333333334,0.8023026666666667,v8,14.728366666666666,1.1664733333333333,68.78161012582561
2304x1536x3072,2304,1536,3072,10871635968,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.5351,1.0588333333333333,v8,14.717366666666669,1.4774133333333335,71.66932065909914
3072x2304x1536,3072,2304,1536,10871635968,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.1793,1.0775033333333335,v8,16.166766666666664,1.34497,80.11559700617298
2304x2304x2304,2304,2304,2304,12230590464,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",19.781966666666666,1.23654,v8,15.908966666666666,1.5376,80.42156239942439
3072x3072x3072,3072,3072,3072,28991029248,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.9965,2.7615166666666666,v8,16.895,3.43192,80.46579191770057
4608x3456x2304,4608,3456,2304,36691771392,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",18.132966666666665,4.046966666666667,v8,16.544166666666666,4.4356366666666664,91.2380581224988
3840x3840x3840,3840,3840,3840,56623104000,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",20.6985,5.4712233333333335,v8,16.8823,6.707986666666667,81.56291518709085
4096x4096x4096,4096,4096,4096,68719476736,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",21.722800000000003,6.326943333333333,v8,16.9154,8.125113333333333,77.86933544478612
7680x6144x3840,7680,6144,3840,181193932800,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",21.413233333333334,16.92356666666667,v8,17.2564,21.0002,80.58754944372404
8192x8192x8192,8192,8192,8192,549755813888,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",22.68986666666667,48.45836666666667,v8,17.666366666666665,62.2377,77.86016077661685
